id,title,authors,published_date,source,venue_or_status,primary_topic,secondary_topics,priority,fit_score,influence_score,interestingness_score,paper_url,pdf_url,code_url,project_page,summary_level,one_sentence_summary,why_it_matters,public_note_path
2604.22750v1,How Do AI Agents Spend Your Money? Analyzing and Predicting Token Consumption in Agentic Coding Tasks,Longju Bai,2026-04-24,arxiv,arXiv preprint,foundation_models,agents,Skim,Low,1.992,6.028,http://arxiv.org/abs/2604.22750v1,https://arxiv.org/pdf/2604.22750v1,,,metadata_only,,,
2604.22700v1,Generative Modeling of Neurodegenerative Brain Anatomy with 4D Longitudinal Diffusion Model,Nivetha Jayakumar,2026-04-24,arxiv,arXiv preprint,neuroai,,Skim,Low,1.967,5.953,http://arxiv.org/abs/2604.22700v1,https://arxiv.org/pdf/2604.22700v1,,,metadata_only,,,
2604.22636v1,CLVAE: A Variational Autoencoder for Long-Term Customer Revenue Forecasting,Jeffrey Näf,2026-04-24,arxiv,arXiv preprint,agents,evaluation,Skim,Low,2.142,5.928,http://arxiv.org/abs/2604.22636v1,https://arxiv.org/pdf/2604.22636v1,,,metadata_only,,,
2604.22595v1,EV-CLIP: Efficient Visual Prompt Adaptation for CLIP in Few-shot Action Recognition under Visual Challenges,Hyo Jin Jon,2026-04-24,arxiv,arXiv preprint,evaluation,foundation_models; theory_optimization,Skim,Low,1.862,5.678,http://arxiv.org/abs/2604.22595v1,https://arxiv.org/pdf/2604.22595v1,,,metadata_only,,,
2604.22746v1,Relaxation-Informed Training of Neural Network Surrogate Models,Calvin Tsay,2026-04-24,arxiv,arXiv preprint,theory_optimization,evaluation,Skim,Low,1.862,5.678,http://arxiv.org/abs/2604.22746v1,https://arxiv.org/pdf/2604.22746v1,,,metadata_only,,,
2604.22552v1,Transferable Physical-World Adversarial Patches Against Pedestrian Detection Models,Shihui Yan,2026-04-24,arxiv,arXiv preprint,safety_alignment,,Skim,Low,1.832,5.628,http://arxiv.org/abs/2604.22552v1,https://arxiv.org/pdf/2604.22552v1,,,metadata_only,,,
2604.22529v1,Distilling Vision Transformers for Distortion-Robust Representation Learning,Konstantinos Alexis,2026-04-24,arxiv,arXiv preprint,foundation_models,,Skim,Low,1.807,5.553,http://arxiv.org/abs/2604.22529v1,https://arxiv.org/pdf/2604.22529v1,,,metadata_only,,,
2604.22540v1,On the Properties of Feature Attribution for Supervised Contrastive Learning,Leonardo Arrighi,2026-04-24,arxiv,arXiv preprint,safety_alignment,,Skim,Low,2.032,5.378,http://arxiv.org/abs/2604.22540v1,https://arxiv.org/pdf/2604.22540v1,,,metadata_only,,,
2604.22624v1,Compositional Online Learning for Multi-Objective System Co-Design,Meshal Alharbi,2026-04-24,arxiv,arXiv preprint,evaluation,safety_alignment; theory_optimization,Skim,Low,1.862,5.228,http://arxiv.org/abs/2604.22624v1,https://arxiv.org/pdf/2604.22624v1,,,metadata_only,,,
2604.22625v1,FlashFolio: A GPU-Accelerated Solver for Portfolio Optimization,Yilun Jiang,2026-04-24,arxiv,arXiv preprint,evaluation,safety_alignment; theory_optimization,Skim,Low,2.062,5.128,http://arxiv.org/abs/2604.22625v1,https://arxiv.org/pdf/2604.22625v1,,,metadata_only,,,
2604.22601v1,From Natural Language to Verified Code: Toward AI Assisted Problem-to-Code Generation with Dafny-Based Formal Verification,Md Erfan,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Skim,Low,1.887,5.003,http://arxiv.org/abs/2604.22601v1,https://arxiv.org/pdf/2604.22601v1,,,metadata_only,,,
2604.22562v1,Data-Free Contribution Estimation in Federated Learning using Gradient von Neumann Entropy,Asim Ukaye,2026-04-24,arxiv,arXiv preprint,evaluation,safety_alignment,Skim,Low,1.687,4.803,http://arxiv.org/abs/2604.22562v1,https://arxiv.org/pdf/2604.22562v1,,,metadata_only,,,
2604.22749v1,Representational Harms in LLM-Generated Narratives Against Global Majority Nationalities,Ilana Nguyen,2026-04-24,arxiv,arXiv preprint,foundation_models,,Skim,Low,1.687,4.803,http://arxiv.org/abs/2604.22749v1,https://arxiv.org/pdf/2604.22749v1,,,metadata_only,,,
2604.22579v1,Useful nonrobust features are ubiquitous in biomedical images,Coenraad Mouton,2026-04-24,arxiv,arXiv preprint,safety_alignment,,Skim,Low,1.832,4.578,http://arxiv.org/abs/2604.22579v1,https://arxiv.org/pdf/2604.22579v1,,,metadata_only,,,
2604.22753v1,"Spend Less, Fit Better: Budget-Efficient Scaling Law Fitting via Active Experiment Selection",Sijie Li,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Skim,Low,1.702,4.528,http://arxiv.org/abs/2604.22753v1,https://arxiv.org/pdf/2604.22753v1,,,metadata_only,,,
2604.22606v1,"Dharma, Data and Deception: An LLM-Powered Rhetorical Analysis of Cow-Urine Health Claims on YouTube",Sheza Munir,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Skim,Low,1.687,4.503,http://arxiv.org/abs/2604.22606v1,https://arxiv.org/pdf/2604.22606v1,,,metadata_only,,,
2604.22662v1,Rethinking XAI Evaluation: A Human-Centered Audit of Shapley Benchmarks in High-Stakes Settings,Inês Oliveira e Silva,2026-04-24,arxiv,arXiv preprint,evaluation,safety_alignment,Skim,Low,1.687,4.503,http://arxiv.org/abs/2604.22662v1,https://arxiv.org/pdf/2604.22662v1,,,metadata_only,,,
2604.22722v1,Aligning Dense Retrievers with LLM Utility via DistillationAligning Dense Retrievers with LLM Utility via Distillation,Rajinder Sandhu,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Skim,Low,1.527,4.403,http://arxiv.org/abs/2604.22722v1,https://arxiv.org/pdf/2604.22722v1,,,metadata_only,,,
2604.22551v1,QDTraj: Exploration of Diverse Trajectory Primitives for Articulated Objects Robotic Manipulation,Mathilde Kappel,2026-04-24,arxiv,arXiv preprint,theory_optimization,,Archive,Low,1.512,4.378,http://arxiv.org/abs/2604.22551v1,https://arxiv.org/pdf/2604.22551v1,,,metadata_only,,,
2604.22583v1,Adaptive Head Budgeting for Efficient Multi-Head Attention,Bilal Faye,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,1.327,4.353,http://arxiv.org/abs/2604.22583v1,https://arxiv.org/pdf/2604.22583v1,,,metadata_only,,,
2604.22695v1,Time-Localized Parametric Decomposition of Respiratory Airflow for Sub-Breath Analysis,Victoria Ribeiro Rodrigues,2026-04-24,arxiv,arXiv preprint,evaluation,theory_optimization; neuroai,Archive,Low,1.327,4.353,http://arxiv.org/abs/2604.22695v1,https://arxiv.org/pdf/2604.22695v1,,,metadata_only,,,
2604.22586v1,FlowAnchor: Stabilizing the Editing Signal for Inversion-Free Video Editing,Ze Chen,2026-04-24,arxiv,arXiv preprint,safety_alignment,,Archive,Low,1.312,4.328,http://arxiv.org/abs/2604.22586v1,https://arxiv.org/pdf/2604.22586v1,,,metadata_only,,,
2604.22679v1,How Supply Chain Dependencies Complicate Bias Measurement and Accountability Attribution in AI Hiring Applications,Gauri Sharma,2026-04-24,arxiv,arXiv preprint,evaluation,automated_research,Archive,Low,1.312,4.328,http://arxiv.org/abs/2604.22679v1,https://arxiv.org/pdf/2604.22679v1,,,metadata_only,,,
2604.22678v1,BERAG: Bayesian Ensemble Retrieval-Augmented Generation for Knowledge-based Visual Question Answering,Jinghong Chen,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Archive,Low,1.487,4.303,http://arxiv.org/abs/2604.22678v1,https://arxiv.org/pdf/2604.22678v1,,,metadata_only,,,
2604.22546v1,ReLIC-SGG: Relation Lattice Completion for Open-Vocabulary Scene Graph Generation,Amir Hosseini,2026-04-24,arxiv,arXiv preprint,evaluation,,Archive,Low,1.487,4.303,http://arxiv.org/abs/2604.22546v1,https://arxiv.org/pdf/2604.22546v1,,,metadata_only,,,
2604.22639v1,Adversarial Malware Generation in Linux ELF Binaries via Semantic-Preserving Transformations,Lukáš Hrdonka,2026-04-24,arxiv,arXiv preprint,safety_alignment,,Archive,Low,1.472,4.278,http://arxiv.org/abs/2604.22639v1,https://arxiv.org/pdf/2604.22639v1,,,metadata_only,,,
2604.22631v1,Identifying and typifying demographic unfairness in phoneme-level embeddings of self-supervised speech recognition models,Felix Herron,2026-04-24,arxiv,arXiv preprint,safety_alignment,,Archive,Low,1.472,4.278,http://arxiv.org/abs/2604.22631v1,https://arxiv.org/pdf/2604.22631v1,,,metadata_only,,,
2604.22661v1,Can QPP Choose the Right Query Variant? Evaluating Query Variant Selection for RAG Pipelines,Negar Arabzadeh,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,1.512,4.078,http://arxiv.org/abs/2604.22661v1,https://arxiv.org/pdf/2604.22661v1,,,metadata_only,,,
2604.22534v1,FeatEHR-LLM: Leveraging Large Language Models for Feature Engineering in Electronic Health Records,Hojjat Karami,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Archive,Low,1.512,4.078,http://arxiv.org/abs/2604.22534v1,https://arxiv.org/pdf/2604.22534v1,,,metadata_only,,,
2604.22627v1,The Exact Replica Threshold for Nonlinear Moments of Quantum States,Shuai Zeng,2026-04-24,arxiv,arXiv preprint,evaluation,theory_optimization,Archive,Low,1.487,4.003,http://arxiv.org/abs/2604.22627v1,https://arxiv.org/pdf/2604.22627v1,,,metadata_only,,,
2604.22560v1,Cross-Stage Coherence in Hierarchical Driving VQA: Explicit Baselines and Learned Gated Context Projectors,Gautam Kumar Jain,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,1.312,3.878,http://arxiv.org/abs/2604.22560v1,https://arxiv.org/pdf/2604.22560v1,,,metadata_only,,,
2604.22548v1,Multi-output Extreme Spatial Model for Complex Aircraft Production Systems,Cheolhei Lee,2026-04-24,arxiv,arXiv preprint,evaluation,safety_alignment,Archive,Low,1.112,3.828,http://arxiv.org/abs/2604.22548v1,https://arxiv.org/pdf/2604.22548v1,,,metadata_only,,,
2604.22676v1,Operational Feature Fingerprints of Graph Datasets via a White-Box Signal-Subspace Probe,Yuchen Xiong,2026-04-24,arxiv,arXiv preprint,evaluation,,Archive,Low,1.302,3.828,http://arxiv.org/abs/2604.22676v1,https://arxiv.org/pdf/2604.22676v1,,,metadata_only,,,
2604.22724v1,GCImOpt: Learning efficient goal-conditioned policies by imitating optimal trajectories,Jon Goikoetxea,2026-04-24,arxiv,arXiv preprint,theory_optimization,,Archive,Low,1.327,3.603,http://arxiv.org/abs/2604.22724v1,https://arxiv.org/pdf/2604.22724v1,,,metadata_only,,,
2604.22672v1,Iterative Model-Learning Scheme via Gaussian Processes for Nonlinear Model Predictive Control of (Semi-)Batch Processes,Tai Xuan Tan,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.967,3.453,http://arxiv.org/abs/2604.22672v1,https://arxiv.org/pdf/2604.22672v1,,,metadata_only,,,
2604.22554v1,Video Analysis and Generation via a Semantic Progress Function,Gal Metzer,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.967,3.453,http://arxiv.org/abs/2604.22554v1,https://arxiv.org/pdf/2604.22554v1,,,metadata_only,,,
2604.22716v1,What are the functions of primary visual cortex (V1)?,Li Zhaoping,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.967,3.453,http://arxiv.org/abs/2604.22716v1,https://arxiv.org/pdf/2604.22716v1,,,metadata_only,,,
2604.22580v1,Explanation of Dynamic Physical Field Predictions using WassersteinGrad: Application to Autoregressive Weather Forecasting,Younes Essafouri,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.952,3.428,http://arxiv.org/abs/2604.22580v1,https://arxiv.org/pdf/2604.22580v1,,,metadata_only,,,
2604.22739v1,Inter-Stance: A Dyadic Multimodal Corpus for Conversational Stance Analysis,Xiang Zhang,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Archive,Low,0.952,3.428,http://arxiv.org/abs/2604.22739v1,https://arxiv.org/pdf/2604.22739v1,,,metadata_only,,,
2604.22633v1,Mixed Membership sub-Gaussian Models,Huan Qing,2026-04-24,arxiv,arXiv preprint,interpretability,,Archive,Low,0.952,3.428,http://arxiv.org/abs/2604.22633v1,https://arxiv.org/pdf/2604.22633v1,,,metadata_only,,,
2604.22577v1,QuantClaw: Precision Where It Matters for OpenClaw,Manyi Zhang,2026-04-24,arxiv,arXiv preprint,foundation_models,agents,Archive,Low,0.952,3.428,http://arxiv.org/abs/2604.22577v1,https://arxiv.org/pdf/2604.22577v1,,,metadata_only,,,
2604.22730v1,Neural Recovery of Historical Lexical Structure in Bantu Languages from Modern Data,Hillary Mutisya,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,1.152,3.178,http://arxiv.org/abs/2604.22730v1,https://arxiv.org/pdf/2604.22730v1,,,metadata_only,,,
2604.22686v1,SS3D: End2End Self-Supervised 3D from Web Videos,Marwane Hariat,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Archive,Low,1.152,3.178,http://arxiv.org/abs/2604.22686v1,https://arxiv.org/pdf/2604.22686v1,,,metadata_only,,,
2604.22657v1,A Non-Invasive Alternative to RFID: Self-Sufficient 3D Identification of Group-Housed Livestock,Shiva Paudel,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,3.028,http://arxiv.org/abs/2604.22657v1,https://arxiv.org/pdf/2604.22657v1,,,metadata_only,,,
2604.22692v1,A Unified Framework for Multiple Exposure Distributed Lag Non-Linear Models for Air Pollution Epidemiology,Tianyi Pan,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,3.028,http://arxiv.org/abs/2604.22692v1,https://arxiv.org/pdf/2604.22692v1,,,metadata_only,,,
2604.22555v1,Using Embedding Models to Improve Probabilistic Race Prediction,Noan Dasanaike,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,3.028,http://arxiv.org/abs/2604.22555v1,https://arxiv.org/pdf/2604.22555v1,,,metadata_only,,,
2604.22535v1,"An Integrated Framework for Explainable, Fair, and Observable Hospital Readmission Prediction: Development and Validation on MIMIC-IV",Isaac Tosin Adisa,2026-04-24,arxiv,arXiv preprint,evaluation,,Archive,Low,0.952,2.978,http://arxiv.org/abs/2604.22535v1,https://arxiv.org/pdf/2604.22535v1,,,metadata_only,,,
2604.22629v1,Detecting Concept Drift in Evolving Malware Families Using Rule-Based Classifier Representations,Tomáš Kalný,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.967,2.703,http://arxiv.org/abs/2604.22629v1,https://arxiv.org/pdf/2604.22629v1,,,metadata_only,,,
2604.22626v1,From graphemic dependence to lexical structure: a Markovian perspective on Dante's Commedia,Angelo Maria Sabatini,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.967,2.703,http://arxiv.org/abs/2604.22626v1,https://arxiv.org/pdf/2604.22626v1,,,metadata_only,,,
2604.22618v1,Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs,Jose Geraldo Fernandes,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.578,http://arxiv.org/abs/2604.22618v1,https://arxiv.org/pdf/2604.22618v1,,,metadata_only,,,
2604.22693v1,CRAFT: Clustered Regression for Adaptive Filtering of Training data,Parthasarathi Panda,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.578,http://arxiv.org/abs/2604.22693v1,https://arxiv.org/pdf/2604.22693v1,,,metadata_only,,,
2604.22752v1,From Physics to Statistics: A Simple Route to Exponential Families via Maximum Entropy,Korbinian Strimmer,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.578,http://arxiv.org/abs/2604.22752v1,https://arxiv.org/pdf/2604.22752v1,,,metadata_only,,,
2604.22668v1,Penalised and constrained geodesics in geometric control theory,Rufus Lawrence,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.578,http://arxiv.org/abs/2604.22668v1,https://arxiv.org/pdf/2604.22668v1,,,metadata_only,,,
2604.22667v1,Sharp bounds for products of dependent random variables,Christopher Blier-Wong,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.578,http://arxiv.org/abs/2604.22667v1,https://arxiv.org/pdf/2604.22667v1,,,metadata_only,,,
2604.22723v1,Zero-Shot Morphological Discovery in Low-Resource Bantu Languages via Cross-Lingual Transfer and Unsupervised Clustering,Hillary Mutisya,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.578,http://arxiv.org/abs/2604.22723v1,https://arxiv.org/pdf/2604.22723v1,,,metadata_only,,,
2604.22736v1,An Undecidability Proof for the Plan Existence Problem,Antonis Achilleos,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.967,2.403,http://arxiv.org/abs/2604.22736v1,https://arxiv.org/pdf/2604.22736v1,,,metadata_only,,,
2604.22737v1,A Vehicle Routing Problem for Human-Centered Electric Mobility,Mostafa Emam,2026-04-24,arxiv,arXiv preprint,evaluation,,Archive,Low,0.952,2.378,http://arxiv.org/abs/2604.22737v1,https://arxiv.org/pdf/2604.22737v1,,,metadata_only,,,
2604.22655v1,Associativity-Peakiness Metric for Contingency Tables,Naomi E. Zirkind,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.278,http://arxiv.org/abs/2604.22655v1,https://arxiv.org/pdf/2604.22655v1,,,metadata_only,,,
2604.22670v1,Curvature of optimal transport with respect to the cost and applications to inverse optimal transport,Gabriel Peyré,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.278,http://arxiv.org/abs/2604.22670v1,https://arxiv.org/pdf/2604.22670v1,,,metadata_only,,,
2604.22539v1,Evolving Thematic Map Design in Academic Cartography: A Thirty-Year Study Based on Multilingual Journals,Zhiwei Wei,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.278,http://arxiv.org/abs/2604.22539v1,https://arxiv.org/pdf/2604.22539v1,,,metadata_only,,,
2604.22640v1,Quality-Driven Selective Mutation for Deep Learning,Zaheed Ahmed,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.278,http://arxiv.org/abs/2604.22640v1,https://arxiv.org/pdf/2604.22640v1,,,metadata_only,,,
2604.22712v1,Statistical Analysis of Markovian Generative Modeling,Eddie Aamari,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.278,http://arxiv.org/abs/2604.22712v1,https://arxiv.org/pdf/2604.22712v1,,,metadata_only,,,
2604.22581v1,Stochastic Krasnoselskii-Mann Iterations: Convergence without Uniformly Bounded Variance,Daniel Cortild,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,2.278,http://arxiv.org/abs/2604.22581v1,https://arxiv.org/pdf/2604.22581v1,,,metadata_only,,,
2604.22570v1,Acyclic Monotone Operators Are Not Closed Under Addition,Henry Shugart,2026-04-24,arxiv,arXiv preprint,foundation_models,,Archive,Low,0.792,1.378,http://arxiv.org/abs/2604.22570v1,https://arxiv.org/pdf/2604.22570v1,,,metadata_only,,,
